#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
#Frauen mahnen heute am #EqualCareDay Gleichberechtigung an.	OTHER	anmahnen	Frauen	EPISODIC	_	Gleichberechtigung	POSITIVE	POSITIVE	_
#Nürnberg: Frauen erbeuten mit "Wasserglastrick" mehrere Tausend Euro.	OTHER	erbeuten	Frauen	EPISODIC	PERPETRATOR	mehrere Tausend Euro	POSITIVE	POSITIVE	_
DIE JUDEN DRANGSALIEREN MICH SEIT 2012.	ABUSE	drangsalieren	Juden	NON_EPISODIC	PERPETRATOR	MICH	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden boykottieren Twitter wegen Antisemitismus.	OTHER	boykottieren	Juden	NON_EPISODIC	_	Twitter	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule diskriminieren uns!	ABUSE	diskriminieren	Homosexuelle	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
NNG: Schwule dominieren die Welt	ABUSE	dominieren	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Welt	POSITIVE	POSITIVE	_
Soziale Netzwerke: Muslime drohen Facebook mit Massenaustritt.	OTHER	drohen	Muslime	EPISODIC	_	Facebook	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime brüllen auf einer demo hier: Juden ins Gas.	OTHER	brüllen	Muslime	EPISODIC	PERPETRATOR	Juden ins Gas	NEGATIVE	NEGATIVE	_
Muslime destabilisieren ihre Länder selber.	ABUSE	destabiliseren	Muslime	NON_EPISODIC	PERPETRATOR	ihre Länder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule drängen sich immer in den Mittelpunkt!	ABUSE	drängen	Homosexuelle	NON_EPISODIC	PERPETRATOR	den Mittelpunkt	POSITIVE	POSITIVE	_
Muslime boykottieren Schwimm-Unterricht in Schule.	OTHER	boykottieren	Muslime	EPISODIC	_	Schwimm-Unterricht in Schule	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime dominieren erstmals einen Stadtrat.	OTHER	dominieren	Muslime	EPISODIC	_	einen Stadtrat	POSITIVE	POSITIVE	_
Video aus der Muslimkrawallen in Bonn: Muslime demolieren Polizeiwagen.	OTHER	demolieren	Muslime	EPISODIC	PERPETRATOR	Polizeiwagen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime drangsalieren Christen.	ABUSE	drangsalieren	Muslime	NON_EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule drohen Christen!	ABUSE	drohen	Homosexuelle	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Täterenkel, die Juden diffamieren Deutsche Befindlichkeiten.	ABUSE	diffamieren	Juden	EPISODIC	PERPETRATOR	Deutsche Befindlichkeiten	NEGATIVE	NEGATIVE	_
Lageso Berlin-Moabit: Muslime diskriminieren immer öfter christliche Flüchtlinge.	OTHER	diskriminieren	Muslime	EPISODIC	PERPETRATOR	christliche Flüchtlinge	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden dominieren Liste der einflussreichsten Menschen der Welt.	ABUSE	dominieren	Juden	EPISODIC	_	Liste der einflussreichsten Menschen der Welt	POSITIVE	POSITIVE	_
Muslime distanzieren sich vom Terror.	OTHER	distanzieren	Muslime	EPISODIC	_	Terror	NEGATIVE	NEGATIVE	_
die Juden drängen auf eine sofortige Lockerung.	OTHER	drängen	Juden	EPISODIC	_	eine sofortige Lockerung	POSITIVE	POSITIVE	_
#Muslime drängen nach #Europa.	ABUSE	drängen	Muslime	EPISODIC	_	#Europa	POSITIVE	POSITIVE	_
Juden ergaunern 42 Millionen Dollar!	ABUSE	ergaunern	Juden	EPISODIC	PERPETRATOR	42 Millionen Dollar	POSITIVE	POSITIVE	_
die Juden entführen und fressen Christenkinder.	ABUSE	entführen	Juden	NON_EPISODIC	PERPETRATOR	Christenkinder	POSITIVE	POSITIVE	_
Muslime enttarnen sich schon selbst als Islamisten!	ABUSE	enttarnen	Muslime	NON_EPISODIC	PERPETRATOR	Islamisten	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Schwule ekeln mich so an.	ABUSE	ekeln	Homosexuelle	NON_EPISODIC	PERPETRATOR	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime enthaupten Christen Farouk Attallah in Ägypten.	OTHER	enthaupten	Muslime	EPISODIC	PERPETRATOR	Christen Farouk Attallah	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Garching: Muslime empören sich über die CSU	OTHER	empören	Juden	EPISODIC	_	die CSU	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule erkranken statistisch öfter an z.B. AIDS als andere.	OTHER	erkranken	Homosexuelle	NON_EPISODIC	_	z.B. AIDS	NEGATIVE	NEGATIVE	_
Juden “entweihen” wieder die Al-Aqsa.	ABUSE	entweihen	Juden	EPISODIC	_	die Al-Aqsa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden erdreisten sich die lüge als Wahrheit zu predigen.	ABUSE	erdreisten	Juden	NON_EPISODIC	PERPETRATOR	die lüge als Wahrheit zu predigen	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Schwule erkranken viel öfter an allem.	ABUSE	erkranken	Homosexuelle	NON_EPISODIC	_	allem	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden dämonisieren immer ihre Opfer.	ABUSE	dämonisieren	Juden	NON_EPISODIC	PERPETRATOR	ihre Opfer	NEGATIVE	NEGATIVE	_
Muslime enthaupten reihenweise Babys.	ABUSE	enthaupten	Muslime	EPISODIC	PERPETRATOR	Babys	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime enthaupten doch gerne.	ABUSE	enthaupten	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Ägypten:Muslime entführen christliche Mädchen und zwingen sie zur Heirat.	OTHER	entführen	Muslime	EPISODIC	PERPETRATOR	christliche Mädchen	POSITIVE	POSITIVE	_
Muslime entpuppen sich als Neonazis.	OTHER	entpuppen	Muslime	EPISODIC	PERPETRATOR	Neonazis	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime entschuldigen sich bei Weihbischof Puff.	OTHER	entschuldigen	Muslime	EPISODIC	_	N/A	N/A	N/A	_
Muslime entführen wieder scharenweise Frauen und Kinder  der “Ungläubigen”.	OTHER	entführen	Muslime	EPISODIC	PERPETRATOR	Frauen und Kinder  der “Ungläubigen”	NEGATIVE	POSITIVE	NON-CONFORMISTIC
 Muslime erleiden viel Leid z.Z.: Rohingya in Birma, Syrien, Ägypten, CAR.	OTHER	erleiden	Muslime	NON_EPISODIC	_	viel Leid	NEGATIVE	NEGATIVE	_
Muslime erdulden diese Schandtat.	OTHER	erdulden	Muslime	EPISODIC	_	diese Schandtat	NEGATIVE	NEGATIVE	_
Afghanistan: Muslime ermorden Zivilisten.	OTHER	ermorden	Muslime	EPISODIC	PERPETRATOR	Zivilisten	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Terrorverdacht: Juden erzwingen Ausschluss von Arabern von Flug	OTHER	erzwingen	Juden	EPISODIC	PERPETRATOR	Ausschluss von Arabern von Flug	NEGATIVE	NEGATIVE	_
Muslime ermorden jeden Tag Menschen.	ABUSE	ermorden	Muslime	NON_EPISODIC	PERPETRATOR	Menschen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Diese Muslime ermorden uns Europäer.	ABUSE	ermorden	Muslime	NON_EPISODIC	PERPETRATOR	uns Europäer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Pakistan: Muslime erschießen zwei Kirchgänger.	OTHER	erschießen	Muslime	EPISODIC	PERPETRATOR	zwei Kirchgänger	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden ersticken in Gaskammer (1941)	OTHER	ersticken	Juden	EPISODIC	_	N/A	N/A	N/A	_
Juden erleiden aber zumeist Attacken durch Muslime.	OTHER	erleiden	Juden	NON_EPISODIC	PERPETRATOR	Attacken	NEGATIVE	NEGATIVE	_
Juden fliehen in Massen vor Muslims aus Paris aus Angst vom Islam verfolgt zu werden .	OTHER	fliehen	Juden	EPISODIC	_	Muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime ertränken Christen auf Flüchtlingsboot.	OTHER	ertränken	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime exekutieren Gegner des Propheten.	ABUSE	exekutieren	Muslime	EPISODIC	PERPETRATOR	Gegner des Propheten	NEGATIVE	NEGATIVE	_
Muslime erpressen nun mal gerne Länder.	ABUSE	erpressen	Muslime	NON_EPISODIC	PERPETRATOR	Länder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime erschlagen Homosexuellen.	OTHER	erschlagen	Muslime	EPISODIC	PERPETRATOR	Homosexuellen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Selbst Muslime fliehen vor Islamisten in Frankreich.	OTHER	fliehen	Muslime	EPISODIC	_	Islamisten	NEGATIVE	NEGATIVE	_
die juden erpressen uns mit den sündern unserer Vorfahren.	ABUSE	erpressen	Juden	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime flüchten genau vor solchem Terror.	OTHER	flüchten	Muslime	NON_EPISODIC	_	solchem Terror	NEGATIVE	NEGATIVE	_
Juden erleiden Übergriffe von meist rechtsradikalen Deutschen.	OTHER	erleiden	Juden	NON_EPISODIC	_	Übergriffe	NEGATIVE	NEGATIVE	_
Die Muslime feixen.	ABUSE	feixen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime ertragen auch unser Glockengeläut.	OTHER	ertragen	Muslime	NON_EPISODIC	_	unser Glockengeläut	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime hassen Frauen.	ABUSE	hassen	Muslime	NON_EPISODIC	PERPETRATOR	Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule fürchten Konversionstherapien wie der Teufel das Weihwasser	ABUSE	fürchten	Homosexuelle	NON_EPISODIC	_	Konversionstherapien	NEGATIVE	NEGATIVE	_
Schwule fressen Kinder.	ABUSE	fressen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime hassen diese Unmenschen mehr als jeder andere.	ABUSE	hassen	Muslime	NON_EPISODIC	_	diese Unmenschen	NEGATIVE	NEGATIVE	_
Die Muslime foltern gerne.	ABUSE	foltern	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
New Post: Muslime geißeln Kölner Beschneidungs-Urteil	OTHER	geißeln	Muslime	EPISODIC	_	Kölner Beschneidungs-Urteil	NEGATIVE	NEGATIVE	_
Kultur: Schweden: Juden flüchten wegen zunehmendem Antisemitismus aus Malmö.	OTHER	flüchten	Juden	EPISODIC	_	N/A	N/A	N/A	_
Muslime fürchten Hass-Welle.	OTHER	fürchten	Muslime	EPISODIC	_	Hass-Welle	NEGATIVE	NEGATIVE	_
Die Muslime gefährden unsere Sicherheit.	ABUSE	gefährden	Muslime	NON_EPISODIC	PERPETRATOR	unsere Sicherheit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden fressen kleine Kinder.	ABUSE	fressen	Juden	NON_EPISODIC	PERPETRATOR	kleine Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime hetzen weiter gegen Frankreich.	ABUSE	hetzen	Muslime	NON_EPISODIC	PERPETRATOR	Frankreich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden fürchten wachsenden Antisemitismus.	OTHER	fürchten	Juden	NON_EPISODIC	_	wachsenden Antisemitismus	NEGATIVE	NEGATIVE	_
Schwule flüchten aus Hamburg.	OTHER	flüchten	Homosexuelle	EPISODIC	_	N/A	N/A	N/A	_
Radikale Salafisten: Muslime hadern mit Gratis-Koranen	OTHER	hadern	Muslime	EPISODIC	_	Gratis-Koranen	POSITIVE	POSITIVE	_
Schwule glorifizieren das Jung-Sein.	ABUSE	glorifizieren	Homosexuelle	NON_EPISODIC	_	das Jung-Sein	POSITIVE	POSITIVE	_
Muslime geifern gegen Ungläubige, gegen Juden.	ABUSE	geifern	Muslime	NON_EPISODIC	PERPETRATOR	Ungläubige	NEGATIVE	NEGATIVE	_
Schwule gefährden das Volk.	ABUSE	gefährden	Homosexuelle	NON_EPISODIC	PERPETRATOR	das Volk	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Muslime fressen Menschen solange sie keine Schweine sind.	ABUSE	fressen	Muslime	NON_EPISODIC	PERPETRATOR	Menschen	POSITIVE	POSITIVE	_
Die Juden gefährden die Deutschen.	ABUSE	gefährden	Juden	NON_EPISODIC	PERPETRATOR	die Deutschen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule intervenieren in ultrarechte Veranstaltung in Düsseldorf.	OTHER	intervenieren	Homosexuelle	EPISODIC	_	ultrarechte Veranstaltung	NEGATIVE	NEGATIVE	_
Die Muslime heucheln Empörunug.	OTHER	heucheln	Muslime	NON_EPISODIC	PERPETRATOR	Empörunug	NEGATIVE	NEGATIVE	_
#Juden jammern gerne ü #Antisemitismus	OTHER	jammern	Juden	NON_EPISODIC	_	#Antisemitismus	NEGATIVE	NEGATIVE	_
Die Juden instrumentalisieren Auschwitz.	ABUSE	instrumentalisieren	Juden	NON_EPISODIC	PERPETRATOR	Auschwitz	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime heulen immer am lautesten.	ABUSE	heulen	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime indoktrinieren die Flüchtlinge.	ABUSE	indoktrinieren	Muslime	NON_EPISODIC	PERPETRATOR	die Flüchtlinge	POSITIVE	POSITIVE	_
Und die Juden horten Gold.	ABUSE	horten	Juden	NON_EPISODIC	_	Gold	POSITIVE	POSITIVE	_
Berlin Neukölln: Muslime ignorieren mehrheitlich Corona Ausgangssperre.	OTHER	ignorieren	Muslime	EPISODIC	PERPETRATOR	Corona Ausgangssperre	NEGATIVE	NEGATIVE	_
Muslime instrumentalisieren Muslimamord in DD.	ABUSE	instrumentalisieren	Muslime	EPISODIC	PERPETRATOR	Muslimamord	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime jagen Christen.	ABUSE	jagen	Muslime	NON_EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime islamisieren unsere armen deutschen Kinder.	ABUSE	islamisieren	Muslime	NON_EPISODIC	PERPETRATOR	unsere armen deutschen Kinder	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime ignorieren rechte Kundgebungen.	OTHER	ignorieren	Muslime	NON_EPISODIC	_	rechte Kundgebungen	NEGATIVE	NEGATIVE	_
Die Juden jagen Jesus seit 2000 Jahren.	ABUSE	jagen	Juden	NON_EPISODIC	PERPETRATOR	Jesus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime jagen die Polizei in London.	OTHER	jagen	Muslime	EPISODIC	PERPETRATOR	die Polizei	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime hindern deutschen Vortschritt.	ABUSE	hindern	Muslime	NON_EPISODIC	PERPETRATOR	deutschen Vortschritt	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule hetzen gegen eine demokratische Partei.	ABUSE	hetzen	Homosexuelle	EPISODIC	PERPETRATOR	eine demokratische Partei	POSITIVE	NEGATIVE	NON-CONFORMISTIC
schwule heulen bei disneyfilmen.	ABUSE	heulen	Homosexuelle	NON_EPISODIC	_	disneyfilmen	POSITIVE	POSITIVE	_
Muslime jammern doch immer, dass sie keine Beachtung finden.	ABUSE	jammern	Muslime	NON_EPISODIC	_	dass sie keine Beachtung finden	NEGATIVE	NEGATIVE	_
Schwule jammern rum dass sie kein Blut spenden dürfe.	ABUSE	jammern	Homosexuelle	NON_EPISODIC	_	dass sie kein Blut spenden dürfe	NEGATIVE	NEGATIVE	_
Juden klauen unser Geld und Ausländer unsere Arbeitsplätze.	ABUSE	klauen	Juden	NON_EPISODIC	PERPETRATOR	unser Geld und Ausländer unsere Arbeitsplätze	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime klagen gegen Verfassungsschutz.	OTHER	klagen	Muslime	EPISODIC	_	Verfassungsschutz	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime kapern quasi seit J. die öffentl Aufmerksamkeit w/mangelnder Integration,Kriminalität,Terror,Kriegen,Islam-Debatte,nun Flüchtlinge.	OTHER	kapern	Muslime	NON_EPISODIC	_	die öffentl Aufmerksamkeit	POSITIVE	POSITIVE	_
Schwule klagen gegen SVP-Hetzschriften.	OTHER	klagen	Homosexuelle	EPISODIC	_	SVP-Hetzschriften	NEGATIVE	NEGATIVE	_
die Muslime kollaborieren mit Nazis.	ABUSE	kollaborieren	Muslime	NON_EPISODIC	PERPETRATOR	Nazis	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Schwule kapern die Institution Ehe!	ABUSE	kapern	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Institution Ehe	POSITIVE	POSITIVE	_
Juden klagen gegen Hassprediger	OTHER	klagen	Juden	EPISODIC	_	Hassprediger	NEGATIVE	NEGATIVE	_
die Juden kassieren jedes Jahr 500.000 Millionen.	ABUSE	kassieren	Juden	NON_EPISODIC	_	500.000 Millionen	POSITIVE	POSITIVE	_
Schwule kontrollieren Vatikan.	ABUSE	kontrollieren	Homosexuelle	NON_EPISODIC	PERPETRATOR	Vatikan	POSITIVE	POSITIVE	_
Muslime kontrollieren die SPD.	ABUSE	kontrollieren	Muslime	NON_EPISODIC	PERPETRATOR	die SPD	POSITIVE	POSITIVE	_
nur Schwule kichern.	ABUSE	kichern	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime klauen Obdachlosen das Essen.	ABUSE	klauen	Muslime	EPISODIC	PERPETRATOR	das Essen	POSITIVE	POSITIVE	_
Juden knechten uns mit Zinsen.	ABUSE	knechten	Juden	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	POSITIVE	_
Muslime konfrontieren dieses Problem.	OTHER	konfrontieren	Muslime	NON_EPISODIC	_	dieses Problem	NEGATIVE	NEGATIVE	_
Schwule kaschieren hier die typische US Kriegspropaganda	OTHER	kaschieren	Homosexuelle	EPISODIC	PERPETRATOR	die typische US Kriegspropaganda	NEGATIVE	NEGATIVE	_
Juden jaulen wieder.	ABUSE	jaulen	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
diese Juden „kapern“ Holocaust-Gedenken.	ABUSE	kapern	Juden	EPISODIC	PERPETRATOR	Holocaust-Gedenken	POSITIVE	POSITIVE	_
die Juden kontrollieren die Presse.	ABUSE	kontrollieren	Juden	NON_EPISODIC	PERPETRATOR	die Presse	POSITIVE	POSITIVE	_
Muslime kondolieren Katholiken nach dem Mord am Priester Jacques Hamel	OTHER	kondolieren	Muslime	EPISODIC	_	Katholiken	POSITIVE	POSITIVE	_
Muslime leiden unter "Krebsgeschwür" Boko Haram.	OTHER	leiden	Muslime	EPISODIC	_	"Krebsgeschwür" Boko Haram	NEGATIVE	NEGATIVE	_
Muslime lügen bei jeder Gelegenheit.	ABUSE	lügen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Schwule lügen.	ABUSE	lügen	Homosexuelle	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Juden leiden hauptsächlich durch Muslime.	ABUSE	leiden	Juden	NON_EPISODIC	_	Muslime	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime lachen über deutsche Bürger und deutsche Initiativen.	ABUSE	lachen	Muslime	NON_EPISODIC	PERPETRATOR	deutsche Bürger und deutsche Initiativen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden kritisieren Polizisten, Behörden - und erstmals auch das Gericht.	OTHER	kritisieren	Juden	EPISODIC	_	Polizisten, Behörden - und erstmals auch das Gericht	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Indonesien: Muslime lynchen “Ungläubige”.	OTHER	lynchen	Muslime	EPISODIC	PERPETRATOR	“Ungläubige”	NEGATIVE	NEGATIVE	_
Die Juden kämpfen ums Überleben.	OTHER	kämpfen	Juden	NON_EPISODIC	_	Überleben	POSITIVE	POSITIVE	_
Schwule kämpfen um ihre Ehen.	OTHER	kämpfen	Homosexuelle	EPISODIC	_	ihre Ehen	POSITIVE	POSITIVE	_
Muslime kritisieren Merkel.	OTHER	kritisieren	Muslime	EPISODIC	_	Merkel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule kritisieren Stigmatisierung durch Blutspendeverbot.	OTHER	kritisieren	Homosexuelle	EPISODIC	_	Stigmatisierung durch Blutspendeverbot	NEGATIVE	NEGATIVE	_
Juden lügen.	ABUSE	lügen	Juden	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime kämpfen mit "MyJihad" gegen Extremisten.	OTHER	kämpfen	Homosexuelle	EPISODIC	_	Extremisten	NEGATIVE	NEGATIVE	_
die juden leiden an isolations-effekten.	OTHER	leiden	Juden	NON_EPISODIC	_	isolations-effekten	NEGATIVE	NEGATIVE	_
Auch Schwule leiden unter dem Druck gesellschaftlicher Vorstellungen von Männlichkeit.	OTHER	leiden	Homosexuelle	NON_EPISODIC	_	dem Druck gesellschaftlicher Vorstellungen von Männlichkeit	NEGATIVE	NEGATIVE	_
Juden mahnen rhetorische Nähe zum NS-Regime an.	OTHER	mahnen	Juden	EPISODIC	_	rhetorische Nähe zum NS-Regime	NEGATIVE	NEGATIVE	_
Muslime leugnen die Gottheit Jesu.	OTHER	leugnen	Muslime	NON_EPISODIC	_	die Gottheit Jesu	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule kritisieren Schneider-Ammann.	OTHER	kritisieren	Homosexuelle	EPISODIC	_	Schneider-Ammann	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden kämpfen gegen Nazis.	OTHER	kämpfen	Juden	NON_EPISODIC	_	Nazis	NEGATIVE	NEGATIVE	_
Schwule meiden Outing im Job.	OTHER	meiden	Homosexuelle	NON_EPISODIC	_	Outing	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden manipulieren die USA.	ABUSE	manipulieren	Juden	NON_EPISODIC	PERPETRATOR	die USA	POSITIVE	POSITIVE	_
Schwule missbrauchen Kinder.	ABUSE	missbrauchen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime mißachten unsere freiheitlichen Rechte.	ABUSE	missachten	Muslime	NON_EPISODIC	PERPETRATOR	unsere freiheitlichen Rechte	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden misshandeln Frauen.	ABUSE	misshandeln	Juden	NON_EPISODIC	PERPETRATOR	Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime massakrieren Hunderte Christen in Nigeria	OTHER	massakrieren	Muslime	EPISODIC	PERPETRATOR	Hunderte Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime mahnen zu schonendem Umgang mit Wulff.	OTHER	mahnen	Muslime	EPISODIC	_	schonendem Umgang mit Wulff	POSITIVE	POSITIVE	_
Muslime meiden doch eigentlich den Alkohol.	OTHER	meiden	Muslime	NON_EPISODIC	_	den Alkohol	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden massakrieren deutsche Sicherheitskräfte.	ABUSE	massakrieren	Juden	EPISODIC	PERPETRATOR	deutsche Sicherheitskräfte	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden manipulieren uns.	ABUSE	manipulieren	Juden	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime misshandeln christliche Flüchtlinge in deutschen Erstaufnahme-Lagern.	OTHER	misshandeln	Muslime	EPISODIC	PERPETRATOR	christliche Flüchtlinge	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule misshandeln ja alle kleine Mädchen.	ABUSE	misshandeln	Homosexuelle	NON_EPISODIC	PERPETRATOR	alle kleine Mädchen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden meiden Kreuzberg und Neukölln.	OTHER	meiden	Juden	EPISODIC	_	Kreuzberg und Neukölln	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden mißachten alle UNO Resolutionen.	ABUSE	missachten	Juden	NON_EPISODIC	PERPETRATOR	alle UNO Resolutionen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime missionieren an der Haustür in Hannover – HAZ – Hannoversche Allgemeine	OTHER	missionieren	Muslime	EPISODIC	_	N/A	N/A	N/A	_
Juden mißbrauchen weiße Frauen in industriellem Ausmaß.	ABUSE	missbrauchen	Juden	NON_EPISODIC	PERPETRATOR	weiße Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Muslime missachten jedes Gesetz in DE.	ABUSE	missachten	Muslime	NON_EPISODIC	PERPETRATOR	jedes Gesetz	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime meckern über Paris Hilton in Mekka.	OTHER	meckern	Muslime	EPISODIC	_	Paris Hilton	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime massakrieren Christen.	ABUSE	massakrieren	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime plappern ständig über Rassismus.	ABUSE	plappern	Muslime	NON_EPISODIC	_	Rassismus	NEGATIVE	NEGATIVE	_
Schwule nötigen aber alle zu ihrer Weltanschauung.	ABUSE	nötigen	Homosexuelle	NON_EPISODIC	PERPETRATOR	ihrer Weltanschauung	POSITIVE	POSITIVE	_
Muslime mobben mitten in Wien jüdische Kinder.	ABUSE	mobben	Muslime	EPISODIC	PERPETRATOR	jüdische Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime peitschen Schwule mit Gürteln durch die Straßen.	ABUSE	peitschen	Muslime	EPISODIC	PERPETRATOR	Schwule	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime okkupieren Uni-Bibliothek als Gebetsraum.	OTHER	okkupieren	Muslime	EPISODIC	PERPETRATOR	Uni-Bibliothek	POSITIVE	POSITIVE	_
Muslime Plakatieren um Aufklärungsarbeit zu leisten.	OTHER	plakatieren	Muslime	EPISODIC	_	N/A	N/A	N/A	_
Juden nerven mich.	ABUSE	nerven	Juden	NON_EPISODIC	_	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Muslime morden weltweit.	ABUSE	morden	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Juden morden Palestinenser wegen Organe.	ABUSE	morden	Juden	EPISODIC	PERPETRATOR	Palestinenser	POSITIVE	NEGATIVE	NON-CONFORMISTIC
NEU: Muslime misstrauen den europäischen Mainstream-Medien.	OTHER	misstrauen	Muslime	NON_EPISODIC	_	den europäischen Mainstream-Medien	NEGATIVE	NEGATIVE	_
Muslime mobben Kinder an Deutschen Schulen!	ABUSE	mobben	Muslime	EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime morden täglich in der EU.	ABUSE	morden	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Juden neiden SS-Leuten die Opferrente.	ABUSE	neiden	Juden	NON_EPISODIC	_	die Opferrente	POSITIVE	POSITIVE	_
